episode,total_reward,steps,epsilon,loss_mean,win_rate,phase,map_size,no_enemies,ep_seed
53,-35.900,22,0.9738,0.458655,0.0000,0,16,1,127
54,-35.300,30,0.9734,0.495371,0.0000,0,16,1,128
55,-35.500,44,0.9729,0.494467,0.0000,0,16,1,129
56,95.300,54,0.9724,0.476239,0.0179,0,16,1,130
57,-36.150,29,0.9719,0.682116,0.0175,0,16,1,131
58,-33.500,20,0.9714,0.577894,0.0172,0,16,1,132
59,-36.800,46,0.9709,0.676992,0.0169,0,16,1,133
60,-31.050,27,0.9704,0.791849,0.0167,0,16,1,134
61,-33.500,34,0.9700,0.658158,0.0164,0,16,1,135
62,-38.700,68,0.9695,0.700382,0.0161,0,16,1,136
63,-35.500,118,0.9690,0.642471,0.0159,0,16,1,137
64,-42.550,65,0.9685,0.660335,0.0156,0,16,1,138
65,-32.800,68,0.9680,0.621678,0.0154,0,16,1,139
66,-33.150,77,0.9675,0.628413,0.0152,0,16,1,140
67,-37.850,45,0.9670,0.595151,0.0149,0,16,1,141
68,-35.400,26,0.9666,0.594841,0.0147,0,16,1,142
69,-44.150,191,0.9661,0.661165,0.0145,0,16,1,143
70,-34.000,50,0.9656,0.526926,0.0143,0,16,1,144
71,-34.200,20,0.9651,0.511383,0.0141,0,16,1,145
72,-38.000,56,0.9646,0.582458,0.0139,0,16,1,146
73,-36.000,56,0.9641,0.575178,0.0137,0,16,1,147
74,-35.650,31,0.9637,0.651903,0.0135,0,16,1,148
75,-37.350,71,0.9632,0.544402,0.0133,0,16,1,149
76,-42.550,77,0.9627,0.635043,0.0132,0,16,1,150
77,-41.650,91,0.9622,0.563845,0.0130,0,16,1,151
78,-34.950,25,0.9617,0.523708,0.0128,0,16,1,152
79,-39.000,78,0.9613,0.606199,0.0127,0,16,1,153
80,-37.000,40,0.9608,0.603193,0.0125,0,16,1,154
81,-34.900,42,0.9603,0.647816,0.0123,0,16,1,155
82,-32.500,62,0.9598,0.589549,0.0122,0,16,1,156
83,-38.000,50,0.9593,0.570631,0.0120,0,16,1,157
84,-37.450,71,0.9589,0.611045,0.0119,0,16,1,158
85,-33.750,25,0.9584,0.624531,0.0118,0,16,1,159
86,-44.600,110,0.9579,0.641983,0.0116,0,16,1,160
87,-33.900,44,0.9574,0.616525,0.0115,0,16,1,161
88,-31.550,37,0.9569,0.568682,0.0114,0,16,1,162
89,-42.400,78,0.9565,0.571995,0.0112,0,16,1,163
90,-36.450,95,0.9560,0.579243,0.0111,0,16,1,164
91,-38.550,77,0.9555,0.607653,0.0110,0,16,1,165
92,-34.450,19,0.9550,0.566046,0.0109,0,16,1,166
93,-37.750,51,0.9546,0.521582,0.0108,0,16,1,167
94,-34.200,60,0.9541,0.604420,0.0106,0,16,1,168
95,-36.950,25,0.9536,0.617415,0.0105,0,16,1,169
96,-37.000,80,0.9531,0.602450,0.0104,0,16,1,170
97,-31.250,49,0.9526,0.606164,0.0103,0,16,1,171
98,106.950,41,0.9522,0.586430,0.0204,0,16,1,172
99,-44.150,117,0.9517,0.685032,0.0202,0,16,1,173
100,-33.200,28,0.9512,0.617844,0.0200,0,16,1,174
101,-42.300,68,0.9507,0.610250,0.0198,0,16,1,175
102,-36.900,72,0.9503,0.668228,0.0196,0,16,1,176
103,102.300,24,0.9498,0.709367,0.0291,0,16,1,177
104,-37.450,29,0.9493,0.682093,0.0288,0,16,1,178
105,-32.500,40,0.9488,0.682519,0.0286,0,16,1,179
106,-37.150,29,0.9484,0.813915,0.0283,0,16,1,180
107,-46.700,132,0.9479,0.724892,0.0280,0,16,1,181
108,-34.000,26,0.9474,0.654097,0.0278,0,16,1,182
109,-42.800,106,0.9469,0.732063,0.0275,0,16,1,183
110,-41.600,86,0.9465,0.681821,0.0273,0,16,1,184
111,-38.650,55,0.9460,0.680375,0.0270,0,16,1,185
112,-33.800,18,0.9455,0.698659,0.0268,0,16,1,186
113,-36.700,50,0.9451,0.616154,0.0265,0,16,1,187
114,-31.450,27,0.9446,0.748882,0.0263,0,16,1,188
115,-36.500,96,0.9441,0.674651,0.0261,0,16,1,189
116,-45.050,111,0.9436,0.688473,0.0259,0,16,1,190
117,-37.200,52,0.9432,0.735761,0.0256,0,16,1,191
118,-30.500,112,0.9427,0.697727,0.0254,0,16,1,192
119,106.300,24,0.9422,0.570281,0.0336,0,16,1,193
120,-31.150,37,0.9418,0.777983,0.0333,0,16,1,194
121,-37.600,100,0.9413,0.756073,0.0331,0,16,1,195
122,-32.750,19,0.9408,0.726342,0.0328,0,16,1,196
123,-36.750,43,0.9403,0.726253,0.0325,0,16,1,197
124,-40.400,68,0.9399,0.674304,0.0323,0,16,1,198
125,-36.100,44,0.9394,0.670017,0.0320,0,16,1,199
126,-50.050,155,0.9389,0.680271,0.0317,0,16,1,200
127,-34.850,51,0.9385,0.643887,0.0315,0,16,1,201
128,-31.150,43,0.9380,0.642444,0.0312,0,16,1,202
129,-37.050,39,0.9375,0.730155,0.0310,0,16,1,203
130,-35.200,20,0.9371,0.607918,0.0308,0,16,1,204
131,-32.950,15,0.9366,0.632104,0.0305,0,16,1,205
132,-33.250,31,0.9361,0.640631,0.0303,0,16,1,206
133,-33.750,33,0.9356,0.601803,0.0301,0,16,1,207
134,-33.350,65,0.9352,0.735690,0.0299,0,16,1,208
135,-34.400,36,0.9347,0.688880,0.0296,0,16,1,209
136,-39.750,71,0.9342,0.631639,0.0294,0,16,1,210
137,-35.100,48,0.9338,0.625789,0.0292,0,16,1,211
138,-35.200,46,0.9333,0.592700,0.0290,0,16,1,212
139,-36.600,56,0.9328,0.576752,0.0288,0,16,1,213
140,-35.050,33,0.9324,0.687086,0.0286,0,16,1,214
141,-34.850,21,0.9319,0.727705,0.0284,0,16,1,215
142,-36.950,57,0.9314,0.730031,0.0282,0,16,1,216
143,-37.450,27,0.9310,0.678058,0.0280,0,16,1,217
144,103.200,50,0.9305,0.694830,0.0347,0,16,1,218
145,-36.650,57,0.9300,0.644092,0.0345,0,16,1,219
146,-33.350,25,0.9296,0.711979,0.0342,0,16,1,220
147,-35.400,40,0.9291,0.674948,0.0340,0,16,1,221
148,-36.400,58,0.9287,0.735500,0.0338,0,16,1,222
149,-52.450,225,0.9282,0.687305,0.0336,0,16,1,223
150,-36.600,76,0.9277,0.730197,0.0333,0,16,1,224
151,-36.400,34,0.9273,0.648299,0.0331,0,16,1,225
152,-38.850,101,0.9268,0.652024,0.0329,0,16,1,226
153,-32.250,21,0.9263,0.651130,0.0327,0,16,1,227
154,-37.250,97,0.9259,0.639232,0.0325,0,16,1,228
155,-32.650,41,0.9254,0.641586,0.0323,0,16,1,229
156,-31.650,45,0.9249,0.640608,0.0321,0,16,1,230
157,-32.400,58,0.9245,0.632493,0.0318,0,16,1,231
158,-36.450,53,0.9240,0.606472,0.0316,0,16,1,232
159,-37.150,37,0.9236,0.733855,0.0314,0,16,1,233
160,-33.300,14,0.9231,0.638565,0.0312,0,16,1,234
161,-32.550,37,0.9226,0.683965,0.0311,0,16,1,235
162,-32.700,24,0.9222,0.662334,0.0309,0,16,1,236
163,-33.250,29,0.9217,0.640190,0.0307,0,16,1,237
164,-34.600,48,0.9213,0.637864,0.0305,0,16,1,238
165,-33.600,24,0.9208,0.614307,0.0303,0,16,1,239
166,-33.950,45,0.9203,0.680089,0.0301,0,16,1,240
167,-53.650,229,0.9199,0.615997,0.0299,0,16,1,241
168,-37.550,63,0.9194,0.643936,0.0298,0,16,1,242
169,-34.800,20,0.9190,0.596674,0.0296,0,16,1,243
170,-32.700,58,0.9185,0.605250,0.0294,0,16,1,244
171,-34.550,29,0.9180,0.666101,0.0292,0,16,1,245
172,-38.900,46,0.9176,0.684610,0.0291,0,16,1,246
173,-34.850,37,0.9171,0.649080,0.0289,0,16,1,247
174,-30.450,17,0.9167,0.664372,0.0287,0,16,1,248
175,-39.700,88,0.9162,0.601914,0.0286,0,16,1,249
176,-39.700,78,0.9157,0.673205,0.0284,0,16,1,250
177,-41.200,72,0.9153,0.605970,0.0282,0,16,1,251
178,-37.800,72,0.9148,0.674775,0.0281,0,16,1,252
179,-35.350,113,0.9144,0.629234,0.0279,0,16,1,253
180,-34.450,27,0.9139,0.643376,0.0278,0,16,1,254
181,-56.600,246,0.9135,0.641425,0.0276,0,16,1,255
182,-31.950,55,0.9130,0.685635,0.0275,0,16,1,256
183,-32.300,54,0.9125,0.570704,0.0273,0,16,1,257
184,-36.700,52,0.9121,0.574492,0.0272,0,16,1,258
185,-34.500,44,0.9116,0.640120,0.0270,0,16,1,259
186,-44.000,120,0.9112,0.640179,0.0269,0,16,1,260
187,-36.050,35,0.9107,0.672893,0.0267,0,16,1,261
188,-37.500,30,0.9103,0.547664,0.0266,0,16,1,262
189,-35.150,59,0.9098,0.601610,0.0265,0,16,1,263
190,-38.000,48,0.9094,0.607710,0.0263,0,16,1,264
191,-36.550,67,0.9089,0.655478,0.0262,0,16,1,265
192,-33.400,78,0.9084,0.604812,0.0260,0,16,1,266
193,-36.850,23,0.9080,0.572849,0.0259,0,16,1,267
194,-34.700,32,0.9075,0.641025,0.0258,0,16,1,268
195,-31.100,28,0.9071,0.630133,0.0256,0,16,1,269
196,-38.450,67,0.9066,0.631886,0.0255,0,16,1,270
197,-38.900,80,0.9062,0.626755,0.0254,0,16,1,271
198,-37.000,72,0.9057,0.607882,0.0253,0,16,1,272
199,-39.050,75,0.9053,0.641229,0.0251,0,16,1,273
200,-30.550,61,0.9048,0.586620,0.0250,0,16,1,274
201,-37.400,76,0.9044,0.606936,0.0250,0,16,1,275
202,-36.100,18,0.9039,0.567533,0.0250,0,16,1,276
203,-39.000,62,0.9035,0.652390,0.0250,0,16,1,277
204,-44.850,119,0.9030,0.622865,0.0250,0,16,1,278
205,-33.250,21,0.9026,0.668567,0.0250,0,16,1,279
206,-42.000,116,0.9021,0.620222,0.0250,0,16,1,280
207,101.150,53,0.9017,0.614228,0.0300,0,16,1,281
208,-42.500,90,0.9012,0.654697,0.0300,0,16,1,282
209,-30.950,45,0.9008,0.691952,0.0300,0,16,1,283
210,-40.200,56,0.9003,0.659760,0.0300,0,16,1,284
211,-37.900,48,0.8999,0.641621,0.0300,0,16,1,285
212,-31.000,14,0.8994,0.697023,0.0300,0,16,1,286
213,-38.300,74,0.8990,0.599364,0.0300,0,16,1,287
214,-38.900,40,0.8985,0.674013,0.0300,0,16,1,288
215,-35.300,32,0.8981,0.622639,0.0300,0,16,1,289
216,-39.350,109,0.8976,0.620846,0.0300,0,16,1,290
217,-36.700,42,0.8972,0.616950,0.0300,0,16,1,291
218,-33.950,83,0.8967,0.628904,0.0300,0,16,1,292
219,-41.400,66,0.8963,0.666291,0.0300,0,16,1,293
220,-48.150,193,0.8958,0.620539,0.0300,0,16,1,294
221,-35.050,43,0.8954,0.589726,0.0300,0,16,1,295
222,-32.200,12,0.8949,0.582745,0.0300,0,16,1,296
223,-36.100,92,0.8945,0.627125,0.0300,0,16,1,297
224,-38.050,91,0.8940,0.606676,0.0300,0,16,1,298
225,-32.150,45,0.8936,0.604664,0.0300,0,16,1,299
226,100.050,69,0.8931,0.640556,0.0350,0,16,1,300
227,94.600,66,0.8927,0.632046,0.0400,0,16,1,301
228,-34.600,60,0.8922,0.683259,0.0400,0,16,1,302
229,-32.350,39,0.8918,0.723751,0.0400,0,16,1,303
230,-31.150,19,0.8913,0.754587,0.0400,0,16,1,304
231,-33.550,25,0.8909,0.658764,0.0400,0,16,1,305
232,-36.800,70,0.8904,0.708078,0.0400,0,16,1,306
233,-39.950,81,0.8900,0.707899,0.0400,0,16,1,307
234,-34.350,75,0.8896,0.640713,0.0400,0,16,1,308
235,-36.200,78,0.8891,0.700509,0.0400,0,16,1,309
236,-38.400,102,0.8887,0.653951,0.0400,0,16,1,310
237,-39.800,86,0.8882,0.641821,0.0400,0,16,1,311
238,-39.500,86,0.8878,0.683526,0.0400,0,16,1,312
239,-43.400,150,0.8873,0.653014,0.0400,0,16,1,313
240,-39.150,81,0.8869,0.698722,0.0400,0,16,1,314
241,-34.350,31,0.8865,0.652787,0.0400,0,16,1,315
242,-39.150,45,0.8860,0.655052,0.0400,0,16,1,316
243,-38.600,50,0.8856,0.629914,0.0400,0,16,1,317
244,-37.550,37,0.8851,0.671505,0.0400,0,16,1,318
245,99.550,49,0.8847,0.656431,0.0450,0,16,1,319
246,-34.050,17,0.8842,0.671263,0.0450,0,16,1,320
247,-36.400,90,0.8838,0.646478,0.0450,0,16,1,321
248,-33.150,41,0.8834,0.656008,0.0450,0,16,1,322
249,-42.200,114,0.8829,0.654652,0.0450,0,16,1,323
250,-35.000,64,0.8825,0.634909,0.0450,0,16,1,324
251,-31.850,27,0.8820,0.656895,0.0450,0,16,1,325
252,-33.350,51,0.8816,0.648420,0.0450,0,16,1,326
253,-33.500,18,0.8811,0.619718,0.0450,0,16,1,327
254,-35.400,50,0.8807,0.645247,0.0450,0,16,1,328
255,-40.200,38,0.8803,0.686424,0.0450,0,16,1,329
256,-32.300,38,0.8798,0.641929,0.0400,0,16,1,330
257,-41.450,111,0.8794,0.655952,0.0400,0,16,1,331
258,-34.000,62,0.8789,0.597919,0.0400,0,16,1,332
259,-37.100,44,0.8785,0.632359,0.0400,0,16,1,333
260,-36.850,37,0.8781,0.689391,0.0400,0,16,1,334
261,-36.200,36,0.8776,0.640885,0.0400,0,16,1,335
262,-34.300,24,0.8772,0.626372,0.0400,0,16,1,336
263,-34.450,73,0.8768,0.668166,0.0400,0,16,1,337
264,-33.700,30,0.8763,0.589667,0.0400,0,16,1,338
265,-33.950,25,0.8759,0.728356,0.0400,0,16,1,339
266,-37.500,58,0.8754,0.673175,0.0400,0,16,1,340
267,-35.550,39,0.8750,0.656764,0.0400,0,16,1,341
268,-35.350,37,0.8746,0.630498,0.0400,0,16,1,342
269,-33.250,51,0.8741,0.687693,0.0400,0,16,1,343
270,-34.600,42,0.8737,0.671110,0.0400,0,16,1,344
271,-34.300,48,0.8732,0.707430,0.0400,0,16,1,345
272,-35.500,36,0.8728,0.668984,0.0400,0,16,1,346
273,-32.800,80,0.8724,0.626401,0.0400,0,16,1,347
274,-37.950,77,0.8719,0.611885,0.0400,0,16,1,348
275,-34.950,39,0.8715,0.650461,0.0400,0,16,1,349
276,-30.450,35,0.8711,0.664987,0.0400,0,16,1,350
277,-35.150,49,0.8706,0.654943,0.0400,0,16,1,351
278,-35.100,98,0.8702,0.632634,0.0400,0,16,1,352
279,-35.700,36,0.8698,0.604582,0.0400,0,16,1,353
280,-32.650,21,0.8693,0.616369,0.0400,0,16,1,354
281,-42.900,108,0.8689,0.644624,0.0400,0,16,1,355
282,-39.600,126,0.8685,0.643313,0.0400,0,16,1,356
283,-43.350,101,0.8680,0.637849,0.0400,0,16,1,357
284,-33.450,11,0.8676,0.631169,0.0400,0,16,1,358
285,-34.650,55,0.8672,0.632482,0.0400,0,16,1,359
286,-32.950,29,0.8667,0.586294,0.0400,0,16,1,360
287,-35.100,26,0.8663,0.636076,0.0400,0,16,1,361
288,-36.300,48,0.8659,0.639097,0.0400,0,16,1,362
289,-36.100,34,0.8654,0.639550,0.0400,0,16,1,363
290,-41.300,86,0.8650,0.669487,0.0400,0,16,1,364
291,-33.050,79,0.8646,0.617370,0.0400,0,16,1,365
292,-41.400,66,0.8641,0.643589,0.0400,0,16,1,366
293,-41.600,84,0.8637,0.680642,0.0400,0,16,1,367
294,-39.000,78,0.8633,0.607802,0.0400,0,16,1,368
295,-35.750,49,0.8628,0.607772,0.0400,0,16,1,369
296,-35.500,20,0.8624,0.609143,0.0400,0,16,1,370
297,-31.850,33,0.8620,0.594460,0.0400,0,16,1,371
298,-36.350,47,0.8615,0.638292,0.0350,0,16,1,372
299,-37.350,61,0.8611,0.626423,0.0350,0,16,1,373
300,-33.750,37,0.8607,0.609887,0.0350,0,16,1,374
301,-36.400,80,0.8602,0.584947,0.0350,0,16,1,375
302,-32.400,18,0.8598,0.740542,0.0350,0,16,1,376
303,-38.550,115,0.8594,0.643800,0.0300,0,16,1,377
304,-34.050,25,0.8590,0.599192,0.0300,0,16,1,378
305,-48.100,136,0.8585,0.665459,0.0300,0,16,1,379
306,-39.450,53,0.8581,0.599472,0.0300,0,16,1,380
307,-36.800,30,0.8577,0.605667,0.0300,0,16,1,381
308,-36.750,81,0.8572,0.601808,0.0300,0,16,1,382
309,-37.000,26,0.8568,0.627473,0.0300,0,16,1,383
310,-34.700,36,0.8564,0.582714,0.0300,0,16,1,384
311,-46.750,153,0.8560,0.632302,0.0300,0,16,1,385
312,96.600,64,0.8555,0.581456,0.0350,0,16,1,386
313,-36.950,59,0.8551,0.612001,0.0350,0,16,1,387
314,-32.400,26,0.8547,0.646809,0.0350,0,16,1,388
315,-40.000,60,0.8542,0.631335,0.0350,0,16,1,389
316,-36.550,37,0.8538,0.608393,0.0350,0,16,1,390
317,-41.800,132,0.8534,0.623387,0.0350,0,16,1,391
318,-31.200,28,0.8530,0.642069,0.0350,0,16,1,392
319,-37.100,60,0.8525,0.645718,0.0300,0,16,1,393
320,-26.900,36,0.8521,0.622451,0.0300,0,16,1,394
321,-40.950,131,0.8517,0.641893,0.0300,0,16,1,395
322,-29.250,73,0.8513,0.597895,0.0300,0,16,1,396
323,-37.450,105,0.8508,0.615673,0.0300,0,16,1,397
324,-40.350,73,0.8504,0.594301,0.0300,0,16,1,398
325,-37.200,38,0.8500,0.618697,0.0300,0,16,1,399
326,97.250,61,0.8496,0.637668,0.0350,0,16,1,400
327,-39.600,78,0.8491,0.632214,0.0350,0,16,1,401
328,-34.650,39,0.8487,0.596045,0.0350,0,16,1,402
329,-32.500,42,0.8483,0.631439,0.0350,0,16,1,403
330,-39.200,90,0.8479,0.663759,0.0350,0,16,1,404
331,-38.500,92,0.8474,0.627517,0.0350,0,16,1,405
332,-34.550,21,0.8470,0.582673,0.0350,0,16,1,406
333,-38.050,51,0.8466,0.615119,0.0350,0,16,1,407
334,-35.200,28,0.8462,0.615733,0.0350,0,16,1,408
335,-41.450,93,0.8457,0.638510,0.0350,0,16,1,409
336,-35.650,29,0.8453,0.683544,0.0350,0,16,1,410
337,-33.100,42,0.8449,0.658568,0.0350,0,16,1,411
338,-34.200,14,0.8445,0.667522,0.0350,0,16,1,412
339,-33.550,55,0.8441,0.663593,0.0350,0,16,1,413
340,-35.450,27,0.8436,0.667194,0.0350,0,16,1,414
341,-34.300,30,0.8432,0.588869,0.0350,0,16,1,415
342,-31.300,40,0.8428,0.656752,0.0350,0,16,1,416
343,-38.000,82,0.8424,0.645318,0.0350,0,16,1,417
344,-34.950,37,0.8419,0.636619,0.0300,0,16,1,418
345,-35.450,49,0.8415,0.627432,0.0300,0,16,1,419
346,-33.600,58,0.8411,0.665529,0.0300,0,16,1,420
347,82.250,179,0.8407,0.628961,0.0350,0,16,1,421
348,-31.800,16,0.8403,0.661574,0.0350,0,16,1,422
349,-38.800,86,0.8398,0.664337,0.0350,0,16,1,423
350,-36.050,57,0.8394,0.667291,0.0350,0,16,1,424
351,98.800,52,0.8390,0.633706,0.0400,0,16,1,425
352,-38.600,48,0.8386,0.653111,0.0400,0,16,1,426
353,-41.800,76,0.8382,0.650743,0.0400,0,16,1,427
354,-34.250,79,0.8377,0.679700,0.0400,0,16,1,428
355,-33.400,26,0.8373,0.637904,0.0400,0,16,1,429
356,-41.750,101,0.8369,0.632588,0.0400,0,16,1,430
357,-30.900,46,0.8365,0.675413,0.0400,0,16,1,431
358,-33.700,34,0.8361,0.637117,0.0400,0,16,1,432
359,-36.550,77,0.8357,0.634019,0.0400,0,16,1,433
360,-39.050,137,0.8352,0.656864,0.0400,0,16,1,434
361,-35.550,43,0.8348,0.659861,0.0400,0,16,1,435
362,-35.700,64,0.8344,0.645697,0.0400,0,16,1,436
363,-44.900,112,0.8340,0.677710,0.0400,0,16,1,437
364,-35.400,58,0.8336,0.616395,0.0400,0,16,1,438
365,-44.650,123,0.8331,0.616999,0.0400,0,16,1,439
366,-33.750,33,0.8327,0.592643,0.0400,0,16,1,440
367,-35.100,58,0.8323,0.641231,0.0400,0,16,1,441
368,-35.750,47,0.8319,0.647783,0.0400,0,16,1,442
369,-31.200,20,0.8315,0.626619,0.0400,0,16,1,443
370,-39.850,113,0.8311,0.653911,0.0400,0,16,1,444
371,-39.050,53,0.8307,0.619569,0.0400,0,16,1,445
372,-28.500,36,0.8302,0.627421,0.0400,0,16,1,446
373,-36.250,55,0.8298,0.638540,0.0400,0,16,1,447
374,-37.250,31,0.8294,0.615770,0.0400,0,16,1,448
375,-34.350,29,0.8290,0.585960,0.0400,0,16,1,449
376,-35.300,46,0.8286,0.616009,0.0400,0,16,1,450
377,-29.650,67,0.8282,0.590153,0.0400,0,16,1,451
378,-32.850,27,0.8277,0.588498,0.0400,0,16,1,452
379,-35.350,23,0.8273,0.596829,0.0400,0,16,1,453
380,-33.650,23,0.8269,0.626922,0.0400,0,16,1,454
381,-38.000,72,0.8265,0.649891,0.0400,0,16,1,455
382,-35.300,30,0.8261,0.527511,0.0400,0,16,1,456
383,-40.450,137,0.8257,0.588100,0.0400,0,16,1,457
384,-38.050,101,0.8253,0.642133,0.0400,0,16,1,458
385,-33.950,73,0.8249,0.628839,0.0400,0,16,1,459
386,-33.250,13,0.8244,0.599590,0.0400,0,16,1,460
387,-38.650,67,0.8240,0.627360,0.0400,0,16,1,461
388,-34.600,24,0.8236,0.638968,0.0400,0,16,1,462
389,-39.850,85,0.8232,0.577822,0.0400,0,16,1,463
390,95.300,80,0.8228,0.609250,0.0450,0,16,1,464
391,-37.100,36,0.8224,0.694212,0.0450,0,16,1,465
392,-36.500,20,0.8220,0.625571,0.0450,0,16,1,466
393,-36.250,67,0.8216,0.660292,0.0450,0,16,1,467
394,-34.700,40,0.8212,0.626002,0.0450,0,16,1,468
395,-33.850,21,0.8207,0.632381,0.0450,0,16,1,469
396,-39.800,90,0.8203,0.611135,0.0450,0,16,1,470
397,-33.150,27,0.8199,0.599329,0.0450,0,16,1,471
398,-37.200,64,0.8195,0.588224,0.0450,0,16,1,472
399,-35.050,35,0.8191,0.589326,0.0450,0,16,1,473
400,-33.650,55,0.8187,0.667712,0.0450,0,16,1,474
401,-42.550,113,0.8183,0.594762,0.0450,0,16,1,475
402,-42.550,107,0.8179,0.608169,0.0450,0,16,1,476
403,-34.600,36,0.8175,0.647894,0.0450,0,16,1,477
404,-30.850,21,0.8171,0.680582,0.0450,0,16,1,478
405,-34.500,12,0.8166,0.511850,0.0450,0,16,1,479
406,-35.450,75,0.8162,0.650667,0.0450,0,16,1,480
407,-38.850,59,0.8158,0.646314,0.0400,0,16,1,481
408,-36.850,37,0.8154,0.645174,0.0400,0,16,1,482
409,-36.500,64,0.8150,0.682320,0.0400,0,16,1,483
410,-36.750,59,0.8146,0.596478,0.0400,0,16,1,484
411,-37.950,39,0.8142,0.584421,0.0400,0,16,1,485
412,-58.500,300,0.8138,0.618967,0.0400,0,16,1,486
413,-35.350,39,0.8134,0.593688,0.0400,0,16,1,487
414,-29.100,56,0.8130,0.622970,0.0400,0,16,1,488
415,-38.050,79,0.8126,0.594288,0.0400,0,16,1,489
416,-36.250,39,0.8122,0.599235,0.0400,0,16,1,490
417,-33.050,31,0.8118,0.615276,0.0400,0,16,1,491
418,-41.200,76,0.8114,0.607892,0.0400,0,16,1,492
419,-37.100,72,0.8109,0.626246,0.0400,0,16,1,493
420,-35.400,40,0.8105,0.564650,0.0400,0,16,1,494
421,-38.600,30,0.8101,0.569094,0.0400,0,16,1,495
422,-38.200,104,0.8097,0.583696,0.0400,0,16,1,496
423,-31.300,22,0.8093,0.565926,0.0400,0,16,1,497
424,-36.750,45,0.8089,0.601069,0.0400,0,16,1,498
425,-31.650,23,0.8085,0.545616,0.0400,0,16,1,499
426,-38.850,85,0.8081,0.604312,0.0350,0,16,1,500
427,-40.600,78,0.8077,0.594052,0.0300,0,16,1,501
428,-49.500,174,0.8073,0.564212,0.0300,0,16,1,502
429,-36.700,34,0.8069,0.530272,0.0300,0,16,1,503
430,-36.250,69,0.8065,0.578146,0.0300,0,16,1,504
431,-37.750,109,0.8061,0.546607,0.0300,0,16,1,505
432,99.150,29,0.8057,0.585585,0.0350,0,16,1,506
433,-32.500,32,0.8053,0.590327,0.0350,0,16,1,507
434,-38.700,100,0.8049,0.622236,0.0350,0,16,1,508
435,-38.500,56,0.8045,0.584942,0.0350,0,16,1,509
