episode,total_reward,steps,epsilon,loss_mean,win_rate,phase,map_size,no_enemies,ep_seed
1,-36.250,49,0.9995,0.000000,0.0000,0,16,1,75
2,-31.750,71,0.9990,0.000000,0.0000,0,16,1,76
3,-42.900,96,0.9985,0.000000,0.0000,0,16,1,77
4,-35.650,33,0.9980,0.000000,0.0000,0,16,1,78
5,-36.100,42,0.9975,0.000000,0.0000,0,16,1,79
6,-37.650,65,0.9970,0.000000,0.0000,0,16,1,80
7,-38.500,32,0.9965,0.000000,0.0000,0,16,1,81
8,-36.600,36,0.9960,0.000000,0.0000,0,16,1,82
9,-37.400,110,0.9955,0.000000,0.0000,0,16,1,83
10,-45.150,127,0.9950,0.000000,0.0000,0,16,1,84
11,-34.050,41,0.9945,0.000000,0.0000,0,16,1,85
12,-35.650,33,0.9940,0.000000,0.0000,0,16,1,86
13,-36.800,52,0.9935,0.000000,0.0000,0,16,1,87
14,-41.800,58,0.9930,0.000000,0.0000,0,16,1,88
15,-42.900,76,0.9925,0.000000,0.0000,0,16,1,89
16,-35.700,26,0.9920,0.000000,0.0000,0,16,1,90
17,-32.600,28,0.9915,0.000000,0.0000,0,16,1,91
18,-35.450,21,0.9910,0.000000,0.0000,0,16,1,92
19,-41.950,97,0.9905,0.587059,0.0000,0,16,1,93
20,-40.450,53,0.9900,0.592512,0.0000,0,16,1,94
21,-44.300,110,0.9896,0.523033,0.0000,0,16,1,95
22,-38.150,35,0.9891,0.473485,0.0000,0,16,1,96
23,-33.400,26,0.9886,0.563916,0.0000,0,16,1,97
24,-34.100,36,0.9881,0.462445,0.0000,0,16,1,98
25,-32.050,31,0.9876,0.503908,0.0000,0,16,1,99
26,-36.150,57,0.9871,0.473295,0.0000,0,16,1,100
27,-46.600,180,0.9866,0.502651,0.0000,0,16,1,101
28,-49.900,162,0.9861,0.411246,0.0000,0,16,1,102
29,-37.250,75,0.9856,0.411297,0.0000,0,16,1,103
30,-34.550,29,0.9851,0.432412,0.0000,0,16,1,104
31,-36.650,65,0.9846,0.455126,0.0000,0,16,1,105
32,-34.750,41,0.9841,0.404131,0.0000,0,16,1,106
33,-41.050,63,0.9836,0.457457,0.0000,0,16,1,107
34,-39.100,60,0.9831,0.442040,0.0000,0,16,1,108
35,-33.100,30,0.9826,0.384603,0.0000,0,16,1,109
36,-38.600,50,0.9822,0.409921,0.0000,0,16,1,110
37,-44.700,92,0.9817,0.429389,0.0000,0,16,1,111
38,-36.550,75,0.9812,0.459860,0.0000,0,16,1,112
39,-30.900,48,0.9807,0.425349,0.0000,0,16,1,113
40,-36.350,27,0.9802,0.453986,0.0000,0,16,1,114
41,-34.200,20,0.9797,0.439751,0.0000,0,16,1,115
42,-33.250,21,0.9792,0.465119,0.0000,0,16,1,116
43,-34.200,22,0.9787,0.411284,0.0000,0,16,1,117
44,-35.450,27,0.9782,0.437026,0.0000,0,16,1,118
45,-38.550,57,0.9777,0.527870,0.0000,0,16,1,119
46,-34.350,49,0.9773,0.508192,0.0000,0,16,1,120
47,-37.150,37,0.9768,0.480055,0.0000,0,16,1,121
48,-32.900,14,0.9763,0.517623,0.0000,0,16,1,122
49,-34.500,22,0.9758,0.560149,0.0000,0,16,1,123
50,-35.550,49,0.9753,0.472643,0.0000,0,16,1,124
51,-47.050,127,0.9748,0.503408,0.0000,0,16,1,125
52,-49.600,164,0.9743,0.500088,0.0000,0,16,1,126
